time timestep g1 g3 g1_regular g1_sticker
17.84 1784 1.28434 0.123117 1.29114 0.936784
18.17 1817 1.29745 0.124941 1.30418 0.945795
18.51 1851 1.31102 0.126426 1.31758 0.955385
18.85 1885 1.32323 0.128243 1.32994 0.960864
19.2 1920 1.33546 0.129898 1.34161 0.9725
19.56 1956 1.34818 0.131177 1.35444 0.979663
19.93 1993 1.36155 0.133364 1.36764 0.988552
20.3 2030 1.37571 0.135441 1.38188 0.997588
20.67 2067 1.38926 0.137732 1.39528 1.00515
21.06 2106 1.40286 0.13989 1.40848 1.01618
21.45 2145 1.41602 0.142194 1.42118 1.02571
21.85 2185 1.43084 0.144032 1.43557 1.0353
22.26 2226 1.44565 0.146216 1.45038 1.04554
22.67 2267 1.45898 0.148059 1.46339 1.05638
23.09 2309 1.47432 0.150873 1.47896 1.06502
23.52 2352 1.48916 0.152941 1.49364 1.07326
23.96 2396 1.50348 0.155171 1.50761 1.08232
24.4 2440 1.51765 0.157334 1.522 1.08969
24.86 2486 1.5328 0.159739 1.53652 1.10125
25.32 2532 1.54802 0.162246 1.55202 1.1131
25.79 2579 1.56459 0.164996 1.56822 1.12529
26.27 2627 1.57865 0.167745 1.58221 1.13378
26.76 2676 1.593 0.169985 1.59621 1.14315
27.26 2726 1.61025 0.172399 1.61375 1.1532
27.77 2777 1.62673 0.174285 1.62992 1.1618
28.28 2828 1.64123 0.176981 1.6441 1.17233
28.81 2881 1.65985 0.180915 1.66283 1.18453
29.35 2935 1.67698 0.183672 1.67939 1.19845
29.89 2989 1.69346 0.186301 1.69503 1.21267
30.45 3045 1.71037 0.18915 1.71162 1.22439
31.01 3101 1.72481 0.191317 1.72654 1.23084
31.59 3159 1.7425 0.194276 1.74332 1.24817
32.18 3218 1.75958 0.196816 1.75948 1.25933
32.78 3278 1.77781 0.20005 1.77799 1.26715
33.39 3339 1.79359 0.202873 1.79334 1.28215
34.01 3401 1.81144 0.206504 1.81178 1.29115
34.64 3464 1.82814 0.20925 1.82788 1.30048
35.29 3529 1.84851 0.212761 1.84829 1.31146
35.94 3594 1.86606 0.215459 1.8651 1.32404
36.61 3661 1.88318 0.217584 1.88212 1.33045
37.29 3729 1.89851 0.220435 1.89692 1.34312
37.99 3799 1.91764 0.224049 1.91533 1.35729
38.69 3869 1.93585 0.226886 1.93303 1.36726
39.41 3941 1.95629 0.23084 1.95234 1.38632
40.15 4015 1.97573 0.233948 1.97212 1.39489
40.89 4089 1.99229 0.237632 1.98857 1.40339
41.66 4166 2.01059 0.24047 2.00621 1.4178
42.43 4243 2.03013 0.244506 2.02518 1.43186
43.22 4322 2.05095 0.249008 2.0452 1.44704
44.02 4402 2.07342 0.253141 2.06813 1.45432
44.84 4484 2.09509 0.257816 2.09013 1.47089
45.68 4568 2.11285 0.261859 2.10757 1.48224
46.53 4653 2.13423 0.266271 2.12937 1.49583
47.39 4739 2.15375 0.269336 2.14694 1.51458
48.28 4828 2.17315 0.273706 2.16634 1.52821
49.17 4917 2.19233 0.2766 2.18478 1.54073
50.09 5009 2.21305 0.280706 2.20528 1.55283
51.02 5102 2.23361 0.28391 2.22502 1.56759
51.97 5197 2.25266 0.288243 2.24357 1.58472
52.94 5294 2.27279 0.292065 2.26327 1.59606
53.92 5392 2.29414 0.295825 2.28429 1.60804
54.93 5493 2.31436 0.299306 2.3037 1.62514
55.95 5595 2.33663 0.302876 2.32554 1.63753
56.99 5699 2.35995 0.308214 2.34876 1.65292
58.05 5805 2.37865 0.309555 2.36693 1.66276
59.13 5913 2.40129 0.314666 2.38953 1.67773
60.23 6023 2.42569 0.319816 2.41344 1.69791
61.35 6135 2.44631 0.324437 2.4347 1.70896
62.49 6249 2.46814 0.328734 2.45553 1.72306
63.66 6366 2.49636 0.333219 2.48317 1.74189
64.84 6484 2.52288 0.339338 2.50868 1.76151
66.05 6605 2.54757 0.344867 2.5328 1.77949
67.28 6728 2.57054 0.349755 2.55544 1.79489
68.53 6853 2.59875 0.355246 2.58344 1.81269
69.8 6980 2.62272 0.360929 2.60635 1.82855
71.1 7110 2.64751 0.366749 2.6319 1.83794
72.43 7243 2.66937 0.370212 2.65302 1.8503
73.77 7377 2.69737 0.376402 2.67907 1.87034
75.15 7515 2.72136 0.381648 2.70335 1.88912
76.54 7654 2.74838 0.387228 2.72967 1.90956
77.97 7797 2.77368 0.39353 2.75439 1.92702
79.42 7942 2.79944 0.399645 2.77983 1.94532
80.9 8090 2.82482 0.404436 2.80444 1.9519
82.4 8240 2.8551 0.411804 2.83399 1.97901
83.94 8394 2.87935 0.416871 2.857 1.99498
85.5 8550 2.90282 0.422802 2.87957 2.01234
87.09 8709 2.92899 0.425811 2.90455 2.0328
88.71 8871 2.95612 0.432247 2.93235 2.04743
90.36 9036 2.98326 0.43851 2.95892 2.06257
92.04 9204 3.01332 0.445749 2.98824 2.08487
93.76 9376 3.04147 0.453076 3.01553 2.10006
95.5 9550 3.07026 0.45679 3.04418 2.11375
97.28 9728 3.10054 0.461945 3.07398 2.13898
99.09 9909 3.12904 0.469061 3.10235 2.15149
100.93 10093 3.1568 0.474967 3.12948 2.1681
102.81 10281 3.18401 0.481548 3.15606 2.1859
104.72 10472 3.2137 0.488678 3.18503 2.20454
106.67 10667 3.24602 0.496917 3.21695 2.22662
108.66 10866 3.27629 0.50524 3.24729 2.2432
110.68 11068 3.3036 0.513155 3.27243 2.26591
112.74 11274 3.34074 0.520176 3.30812 2.29498
114.84 11484 3.37042 0.528096 3.33829 2.31193
116.97 11697 3.39896 0.534124 3.36523 2.33164
119.15 11915 3.43115 0.542027 3.39638 2.34883
121.37 12137 3.46632 0.551903 3.43093 2.37579
123.63 12363 3.4963 0.558267 3.46019 2.39257
125.93 12593 3.52125 0.561447 3.48457 2.40479
128.27 12827 3.55671 0.569326 3.51771 2.43456
130.66 13066 3.59216 0.580216 3.554 2.45372
133.09 13309 3.62593 0.589913 3.58803 2.46375
135.57 13557 3.65686 0.596159 3.61764 2.4969
138.09 13809 3.69247 0.605409 3.65331 2.52034
140.66 14066 3.72968 0.614985 3.68823 2.54488
143.28 14328 3.7689 0.622854 3.72683 2.56486
145.94 14594 3.79812 0.630237 3.75263 2.58936
148.66 14866 3.83604 0.640761 3.78944 2.6179
151.42 15142 3.86755 0.64833 3.82064 2.64358
154.24 15424 3.91175 0.660979 3.86268 2.6763
157.11 15711 3.95099 0.670249 3.89952 2.70504
160.04 16004 3.98507 0.683017 3.93155 2.73295
163.01 16301 4.02388 0.693249 3.9707 2.75491
166.05 16605 4.05887 0.703196 4.00633 2.76671
169.14 16914 4.10469 0.715878 4.04953 2.80465
172.29 17229 4.14194 0.725417 4.08649 2.82727
